retailer,retailer_id,invoice_date,region,state,city,gender_type,product_category,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,100,55000.0,19250.0,0.35,Outlet
Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,125,81250.0,24375.0,0.3,Outlet
Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,250,175000.0,52500.0,0.3,Outlet
Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,500,325000.0,178750.0,0.55,Outlet
Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,250,150000.0,52500.0,0.35,Outlet
Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,175,96250.0,38500.0,0.4,Outlet
Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,150,82500.0,33000.0,0.4,Outlet
Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,150,97500.0,34125.0,0.35,Outlet
Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,300,210000.0,63000.0,0.3,Outlet
Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,500,325000.0,178750.0,0.55,Outlet
Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,300,180000.0,63000.0,0.35,Outlet
Foot Locker,1185732,2021-11-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,225,123750.0,49500.0,0.4,Outlet
Foot Locker,1185732,2021-11-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,175,96250.0,38500.0,0.4,Outlet
Foot Locker,1185732,2021-12-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,200,130000.0,45500.0,0.35,Outlet
Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,375,262500.0,78750.0,0.3,Outlet
Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,525,341250.0,187687.5,0.55,Outlet
Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,300,180000.0,63000.0,0.35,Outlet
Foot Locker,1185732,2021-12-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,225,123750.0,49500.0,0.4,Outlet
Foot Locker,1185732,2021-12-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,55,200,110000.0,44000.0,0.4,Outlet
Foot Locker,1185732,2021-12-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,65,175,113750.0,39812.5,0.35,Outlet
Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,70,350,245000.0,73500.0,0.3,Outlet
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,65,475,308750.0,154375.0,0.5,Outlet
Foot Locker,1185732,2021-12-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,275,137500.0,41250.0,0.3,Outlet
Foot Locker,1185732,2021-12-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,45,200,90000.0,31500.0,0.35,Outlet
Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,45,175,78750.0,27562.5,0.35,Outlet
Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,125,68750.0,20625.0,0.3,Outlet
Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,60,225,135000.0,33750.0,0.25,Outlet
Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,400,240000.0,120000.0,0.5,Outlet
Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,50,225,112500.0,33750.0,0.3,Outlet
Foot Locker,1185732,2021-12-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,50,125,62500.0,21875.0,0.35,Outlet
Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,50,100,50000.0,17500.0,0.35,Outlet
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,100,60000.0,18000.0,0.3,Outlet
Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,65,225,146250.0,36562.5,0.25,Outlet
Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,70,375,262500.0,144375.0,0.55,Outlet
Foot Locker,1185732,2021-12-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,200,120000.0,42000.0,0.35,Outlet
Foot Locker,1185732,2021-12-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,60,195,117000.0,46800.0,0.4,Outlet
Foot Locker,1185732,2021-12-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,60,175,105000.0,42000.0,0.4,Outlet
Foot Locker,1185732,2021-12-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,70,150,105000.0,36750.0,0.35,Outlet
Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,75,250,187500.0,56250.0,0.3,Outlet
Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,70,475,332500.0,182875.0,0.55,Outlet
Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,60,275,165000.0,57750.0,0.35,Outlet
Foot Locker,1185732,2021-12-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,60,225,135000.0,54000.0,0.4,Outlet
Foot Locker,1185732,2021-12-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,60,175,105000.0,42000.0,0.4,Outlet
Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men,Apparel,70,175,122500.0,42875.0,0.35,Outlet
Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women,Apparel,75,275,206250.0,61875.0,0.3,Outlet
Foot Locker,1185732,2021-10-26,Northeast,Pennsylvania,Philadelphia,Men,Apparel,42,41,1722.0,706.02,0.41,Outlet
Foot Locker,1185732,2021-10-27,Northeast,Pennsylvania,Philadelphia,Women,Apparel,32,70,2240.0,761.6,0.34,Outlet
Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,32,166,5312.0,3187.2,0.6,Outlet
Foot Locker,1185732,2021-10-29,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,32,44,1408.0,563.2,0.4,Outlet
Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,25,54,1350.0,607.5,0.45,Outlet
Foot Locker,1185732,2021-10-31,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,28,17,476.0,199.92,0.42,Outlet
Foot Locker,1185732,2021-11-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,39,40,1560.0,577.2,0.37,Outlet
Foot Locker,1185732,2021-11-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,30,74,2220.0,777.0,0.35,Outlet
Foot Locker,1185732,2021-11-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,39,156,6084.0,3528.72,0.58,Outlet
Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,33,53,1749.0,647.13,0.37,Outlet
Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,29,58,1682.0,756.9,0.45,Outlet
Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,32,8,256.0,112.64,0.44,Outlet
Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,41,24,984.0,334.56,0.34,Outlet
Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,38,61,2318.0,718.58,0.31,Outlet
Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,35,140,4900.0,2793.0,0.57,Outlet
Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,37,51,1887.0,603.84,0.32,Outlet
Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,27,51,1377.0,578.34,0.42,Outlet
Foot Locker,1185732,2021-11-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,36,24,864.0,328.32,0.38,Outlet
Foot Locker,1185732,2021-11-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,45,26,1170.0,432.9,0.37,Outlet
Foot Locker,1185732,2021-11-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,39,64,2496.0,673.92,0.27,Outlet
Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,44,150,6600.0,3432.0,0.52,Outlet
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,40,54,2160.0,712.8,0.33,Outlet
Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,53,2014.0,745.18,0.37,Outlet
Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,42,34,1428.0,571.2,0.4,Outlet
Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,39,1989.0,735.93,0.37,Outlet
Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,51,78,3978.0,1471.86,0.37,Outlet
Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,170,8330.0,4748.1,0.57,Outlet
Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,41,85,3485.0,1359.15,0.39,Outlet
Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,42,54,2268.0,975.24,0.43,Outlet
Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,53,2279.0,1071.13,0.47,Outlet
Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,43,48,2064.0,866.88,0.42,Outlet
Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,52,105,5460.0,1911.0,0.35,Outlet
Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,175,8575.0,4887.75,0.57,Outlet
Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,99,4455.0,1737.45,0.39,Outlet
Foot Locker,1185732,2021-11-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,43,72,3096.0,1331.28,0.43,Outlet
Foot Locker,1185732,2021-11-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,39,56,2184.0,1026.48,0.47,Outlet
Foot Locker,1185732,2021-12-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,50,64,3200.0,1280.0,0.4,Outlet
Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,50,116,5800.0,2088.0,0.36,Outlet
Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,51,179,9129.0,5294.82,0.58,Outlet
Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,44,102,4488.0,1884.96,0.42,Outlet
Foot Locker,1185732,2021-12-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,79,3002.0,1410.94,0.47,Outlet
Foot Locker,1185732,2021-12-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,62,2666.0,1226.36,0.46,Outlet
Foot Locker,1185732,2021-12-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,46,54,2484.0,968.76,0.39,Outlet
Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,49,123,6027.0,2169.72,0.36,Outlet
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,46,162,7452.0,3875.04,0.52,Outlet
Foot Locker,1185732,2021-12-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,40,91,3640.0,1237.6,0.34,Outlet
Foot Locker,1185732,2021-12-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,32,60,1920.0,768.0,0.4,Outlet
Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,32,53,1696.0,695.36,0.41,Outlet
Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,36,41,1476.0,501.84,0.34,Outlet
Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,48,79,3792.0,1175.52,0.31,Outlet
Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,47,124,5828.0,3088.84,0.53,Outlet
Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,35,68,2380.0,761.6,0.32,Outlet
Foot Locker,1185732,2021-12-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,38,1444.0,548.72,0.38,Outlet
Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,34,1360.0,516.8,0.38,Outlet
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,43,30,1290.0,425.7,0.33,Outlet
Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,42,74,3108.0,994.56,0.32,Outlet
Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,48,124,5952.0,3571.2,0.6,Outlet
Foot Locker,1185732,2021-12-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,43,68,2924.0,1228.08,0.42,Outlet
Foot Locker,1185732,2021-12-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,47,66,3102.0,1364.88,0.44,Outlet
Foot Locker,1185732,2021-12-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,60,2580.0,1186.8,0.46,Outlet
Foot Locker,1185732,2021-12-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,48,2448.0,954.72,0.39,Outlet
Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,53,75,3975.0,1431.0,0.36,Outlet
Foot Locker,1185732,2021-12-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,53,143,7579.0,4623.19,0.61,Outlet
Foot Locker,1185732,2021-12-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,85,3995.0,1637.95,0.41,Outlet
Foot Locker,1185732,2021-12-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,44,79,3476.0,1529.44,0.44,Outlet
Foot Locker,1185732,2021-12-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,40,53,2120.0,954.0,0.45,Outlet
Foot Locker,1185732,2021-12-31,Northeast,Pennsylvania,Philadelphia,Men,Apparel,46,56,2576.0,1004.64,0.39,Outlet
Foot Locker,1185732,2020-01-01,Northeast,Pennsylvania,Philadelphia,Women,Apparel,53,83,4399.0,1407.68,0.32,Outlet
Foot Locker,1185732,2021-10-26,Northeast,Pennsylvania,Philadelphia,Men,Apparel,54,36,1944.0,874.8,0.45,Online
Foot Locker,1185732,2021-10-27,Northeast,Pennsylvania,Philadelphia,Women,Apparel,43,61,2623.0,1154.12,0.44,Online
Foot Locker,1185732,2021-10-28,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,42,119,4998.0,3348.66,0.67,Online
Foot Locker,1185732,2021-10-29,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,44,35,1540.0,739.2,0.48,Online
Foot Locker,1185732,2021-10-30,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,34,46,1564.0,813.28,0.52,Online
Foot Locker,1185732,2021-10-31,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,39,13,507.0,263.64,0.52,Online
Foot Locker,1185732,2021-11-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,51,36,1836.0,844.56,0.46,Online
Foot Locker,1185732,2021-11-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,44,68,2992.0,1346.4,0.45,Online
Foot Locker,1185732,2021-11-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,49,120,5880.0,4116.0,0.7,Online
Foot Locker,1185732,2021-11-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,38,1786.0,875.14,0.49,Online
Foot Locker,1185732,2021-11-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,36,51,1836.0,991.44,0.54,Online
Foot Locker,1185732,2021-11-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,43,8,344.0,175.44,0.51,Online
Foot Locker,1185732,2021-11-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,58,20,1160.0,464.0,0.4,Online
Foot Locker,1185732,2021-11-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,47,44,2068.0,723.8,0.35,Online
Foot Locker,1185732,2021-11-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,46,122,5612.0,3535.56,0.63,Online
Foot Locker,1185732,2021-11-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,45,45,2025.0,850.5,0.42,Online
Foot Locker,1185732,2021-11-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,38,38,1444.0,664.24,0.46,Online
Foot Locker,1185732,2021-11-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,42,20,840.0,386.4,0.46,Online
Foot Locker,1185732,2021-11-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,55,22,1210.0,508.2,0.42,Online
Foot Locker,1185732,2021-11-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,48,54,2592.0,933.12,0.36,Online
Foot Locker,1185732,2021-11-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,58,136,7888.0,4969.44,0.63,Online
Foot Locker,1185732,2021-11-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,54,53,2862.0,1144.8,0.4,Online
Foot Locker,1185732,2021-11-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,52,42,2184.0,1004.64,0.46,Online
Foot Locker,1185732,2021-11-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,51,29,1479.0,695.13,0.47,Online
Foot Locker,1185732,2021-11-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,59,31,1829.0,768.18,0.42,Online
Foot Locker,1185732,2021-11-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,63,4032.0,1814.4,0.45,Online
Foot Locker,1185732,2021-11-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,64,135,8640.0,5616.0,0.65,Online
Foot Locker,1185732,2021-11-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,59,70,4130.0,1899.8,0.46,Online
Foot Locker,1185732,2021-11-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,52,44,2288.0,1144.0,0.5,Online
Foot Locker,1185732,2021-11-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,52,39,2028.0,1074.84,0.53,Online
Foot Locker,1185732,2021-11-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,60,45,2700.0,1242.0,0.46,Online
Foot Locker,1185732,2021-11-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,65,81,5265.0,2211.3,0.42,Online
Foot Locker,1185732,2021-11-27,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,145,8700.0,5829.0,0.67,Online
Foot Locker,1185732,2021-11-28,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,90,4950.0,2475.0,0.5,Online
Foot Locker,1185732,2021-11-29,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,51,59,3009.0,1504.5,0.5,Online
Foot Locker,1185732,2021-11-30,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,51,44,2244.0,1189.32,0.53,Online
Foot Locker,1185732,2021-12-01,Northeast,Pennsylvania,Philadelphia,Men,Apparel,64,60,3840.0,1843.2,0.48,Online
Foot Locker,1185732,2021-12-02,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,98,6272.0,2634.24,0.42,Online
Foot Locker,1185732,2021-12-03,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,60,158,9480.0,6256.8,0.66,Online
Foot Locker,1185732,2021-12-04,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,54,75,4050.0,1903.5,0.47,Online
Foot Locker,1185732,2021-12-05,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,54,61,3294.0,1811.7,0.55,Online
Foot Locker,1185732,2021-12-06,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,53,58,3074.0,1659.96,0.54,Online
Foot Locker,1185732,2021-12-07,Northeast,Pennsylvania,Philadelphia,Men,Apparel,61,46,2806.0,1290.76,0.46,Online
Foot Locker,1185732,2021-12-08,Northeast,Pennsylvania,Philadelphia,Women,Apparel,64,95,6080.0,2614.4,0.43,Online
Foot Locker,1185732,2021-12-09,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,62,143,8866.0,5319.6,0.6,Online
Foot Locker,1185732,2021-12-10,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,48,80,3840.0,1536.0,0.4,Online
Foot Locker,1185732,2021-12-11,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,41,50,2050.0,922.5,0.45,Online
Foot Locker,1185732,2021-12-12,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,41,53,2173.0,1021.31,0.47,Online
Foot Locker,1185732,2021-12-13,Northeast,Pennsylvania,Philadelphia,Men,Apparel,50,36,1800.0,810.0,0.45,Online
Foot Locker,1185732,2021-12-14,Northeast,Pennsylvania,Philadelphia,Women,Apparel,55,61,3355.0,1342.0,0.4,Online
Foot Locker,1185732,2021-12-15,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,55,104,5720.0,3546.4,0.62,Online
Foot Locker,1185732,2021-12-16,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,47,63,2961.0,1243.62,0.42,Online
Foot Locker,1185732,2021-12-17,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,48,34,1632.0,734.4,0.45,Online
Foot Locker,1185732,2021-12-18,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,48,29,1392.0,626.4,0.45,Online
Foot Locker,1185732,2021-12-19,Northeast,Pennsylvania,Philadelphia,Men,Apparel,56,27,1512.0,650.16,0.43,Online
Foot Locker,1185732,2021-12-20,Northeast,Pennsylvania,Philadelphia,Women,Apparel,60,63,3780.0,1474.2,0.39,Online
Foot Locker,1185732,2021-12-21,Northeast,Pennsylvania,Philadelphia,Men,Street Footwear,66,113,7458.0,4847.7,0.65,Online
Foot Locker,1185732,2021-12-22,Northeast,Pennsylvania,Philadelphia,Men,Athletic Footwear,55,60,3300.0,1551.0,0.47,Online
Foot Locker,1185732,2021-12-23,Northeast,Pennsylvania,Philadelphia,Women,Street Footwear,55,55,3025.0,1603.25,0.53,Online
Foot Locker,1185732,2021-12-24,Northeast,Pennsylvania,Philadelphia,Women,Athletic Footwear,56,44,2464.0,1256.64,0.51,Online
Foot Locker,1185732,2021-12-25,Northeast,Pennsylvania,Philadelphia,Men,Apparel,64,42,2688.0,1290.24,0.48,Online
Foot Locker,1185732,2021-12-26,Northeast,Pennsylvania,Philadelphia,Women,Apparel,71,65,4615.0,2030.6,0.44,Online
